Herb Name (English),Tamil Name,Botanical Name,Part Used,Key Uses,Form of Use
Aloe Vera,Sotru Katrazhai,Aloe barbadensis,Leaf gel,"Cooling, ulcers, skin diseases, constipation","Juice, paste, external application"
Turmeric,Manjal,Curcuma longa,Rhizome,"Anti-inflammatory, antiseptic, cough, improves complexion","Powder, paste, decoction"
Neem,Veppamaram,Azadirachta indica,"Leaf, bark, seed","Blood purifier, skin diseases, diabetes, fever","Decoction, oil, paste"
Amla,Nellikai,Phyllanthus emblica,Fruit,"Rejuvenator, digestive, immunity booster, eyesight","Powder, juice"
Tulsi,Thulasi,Ocimum sanctum,Leaf,"Respiratory issues, fever, antimicrobial","Decoction, juice, fresh leaf"
Adhatoda,Adathodai,Justicia adhatoda,Leaf,"Asthma, cough, bronchitis, expectorant","Decoction, juice"
Ginger,Inji,Zingiber officinale,Rhizome,"Digestive aid, nausea, cold, inflammation","Decoction, powder, fresh"
Garlic,Poondu,Allium sativum,Bulb,"Cholesterol, digestion, immunity, infections","Paste, raw, decoction"
Pepper,Milagu,Piper nigrum,Fruit,"Cough, cold, digestion, improves appetite","Powder, decoction"
Cumin,Seeragam,Cuminum cyminum,Seed,"Indigestion, colic, improves lactation","Powder, decoction"
Fenugreek,Vendhayam,Trigonella foenum-graecum,Seed,"Diabetes, lactation, digestion, hair health","Powder, decoction"
Coriander,Kothamalli,Coriandrum sativum,"Seed, leaf","Fever, digestion, urinary disorders","Decoction, fresh leaf"
Cardamom,Elakkai,Elettaria cardamomum,Fruit,"Indigestion, nausea, bad breath","Powder, decoction"
Clove,Kirambu,Syzygium aromaticum,Flower bud,"Toothache, digestion, antimicrobial","Powder, oil"
Nutmeg,Jathikai,Myristica fragrans,Seed,"Insomnia, indigestion, diarrhea","Powder, paste"
Ashwagandha,Amukkura,Withania somnifera,Root,"Rejuvenator, stress relief, strength","Powder, decoction"
Bitter Gourd,Pavakkai,Momordica charantia,Fruit,"Diabetes, liver tonic, digestion","Juice, cooked"
Vasambu,Vasambu,Acorus calamus,Rhizome,"Infant colic, speech issues, digestion","Powder, paste"
Haritaki,Kadukkai,Terminalia chebula,Fruit,"Constipation, digestion, rejuvenator","Powder, decoction"
Bael,Vilvam,Aegle marmelos,"Leaf, fruit","Diarrhea, dysentery, fever","Juice, decoction"
Arugampul,Arugampul,Cynodon dactylon,Whole plant,"Cooling, urinary infection, blood purifier",Juice
Thoothuvalai,Thoothuvalai,Solanum trilobatum,Leaf,"Asthma, cough, respiratory disorders","Soup, decoction"
Avarampoo,Avarampoo,Cassia auriculata,Flower,"Diabetes, skin diseases, cooling","Tea, decoction"
